Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","98","Croatia","5419","Yield","544","Strawberries","2020","2020","hg/ha","87667","Fc","Calculated data"
"QCL","Crops and livestock products","98","Croatia","5510","Production","544","Strawberries","2020","2020","tonnes","2630","","Official data"
"QCL","Crops and livestock products","50","Cyprus","5312","Area harvested","544","Strawberries","2020","2020","ha","50","","Official data"
"QCL","Crops and livestock products","50","Cyprus","5419","Yield","544","Strawberries","2020","2020","hg/ha","302000","Fc","Calculated data"
"QCL","Crops and livestock products","50","Cyprus","5510","Production","544","Strawberries","2020","2020","tonnes","1510","","Official data"
"QCL","Crops and livestock products","167","Czechia","5312","Area harvested","544","Strawberries","2020","2020","ha","460","","Official data"
"QCL","Crops and livestock products","167","Czechia","5419","Yield","544","Strawberries","2020","2020","hg/ha","45217","Fc","Calculated data"
"QCL","Crops and livestock products","167","Czechia","5510","Production","544","Strawberries","2020","2020","tonnes","2080","","Official data"
"QCL","Crops and livestock products","54","Denmark","5312","Area harvested","544","Strawberries","2020","2020","ha","1070","","Official data"
"QCL","Crops and livestock products","54","Denmark","5419","Yield","544","Strawberries","2020","2020","hg/ha","56729","Fc","Calculated data"
"QCL","Crops and livestock products","54","Denmark","5510","Production","544","Strawberries","2020","2020","tonnes","6070","","Official data"
"QCL","Crops and livestock products","58","Ecuador","5312","Area harvested","544","Strawberries","2020","2020","ha","100","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","58","Ecuador","5419","Yield","544","Strawberries","2020","2020","hg/ha","144400","Fc","Calculated data"
"QCL","Crops and livestock products","58","Ecuador","5510","Production","544","Strawberries","2020","2020","tonnes","1444","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","59","Egypt","5312","Area harvested","544","Strawberries","2020","2020","ha","15345","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","59","Egypt","5419","Yield","544","Strawberries","2020","2020","hg/ha","389071","Fc","Calculated data"
"QCL","Crops and livestock products","59","Egypt","5510","Production","544","Strawberries","2020","2020","tonnes","597029","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","63","Estonia","5312","Area harvested","544","Strawberries","2020","2020","ha","660","","Official data"
"QCL","Crops and livestock products","63","Estonia","5419","Yield","544","Strawberries","2020","2020","hg/ha","24545","Fc","Calculated data"
"QCL","Crops and livestock products","63","Estonia","5510","Production","544","Strawberries","2020","2020","tonnes","1620","","Official data"
"QCL","Crops and livestock products","67","Finland","5312","Area harvested","544","Strawberries","2020","2020","ha","4440","","Official data"
"QCL","Crops and livestock products","67","Finland","5419","Yield","544","Strawberries","2020","2020","hg/ha","34414","Fc","Calculated data"
"QCL","Crops and livestock products","67","Finland","5510","Production","544","Strawberries","2020","2020","tonnes","15280","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","544","Strawberries","2020","2020","ha","3330","","Official data"
"QCL","Crops and livestock products","68","France","5419","Yield","544","Strawberries","2020","2020","hg/ha","164865","Fc","Calculated data"
"QCL","Crops and livestock products","68","France","5510","Production","544","Strawberries","2020","2020","tonnes","54900","","Official data"
"QCL","Crops and livestock products","73","Georgia","5312","Area harvested","544","Strawberries","2020","2020","ha","271","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","73","Georgia","5419","Yield","544","Strawberries","2020","2020","hg/ha","44280","Fc","Calculated data"
"QCL","Crops and livestock products","73","Georgia","5510","Production","544","Strawberries","2020","2020","tonnes","1200","","Official data"
"QCL","Crops and livestock products","79","Germany","5312","Area harvested","544","Strawberries","2020","2020","ha","12860","","Official data"
"QCL","Crops and livestock products","79","Germany","5419","Yield","544","Strawberries","2020","2020","hg/ha","118336","Fc","Calculated data"
"QCL","Crops and livestock products","79","Germany","5510","Production","544","Strawberries","2020","2020","tonnes","152180","","Official data"
"QCL","Crops and livestock products","84","Greece","5312","Area harvested","544","Strawberries","2020","2020","ha","1720","","Official data"
"QCL","Crops and livestock products","84","Greece","5419","Yield","544","Strawberries","2020","2020","hg/ha","489651","Fc","Calculated data"
"QCL","Crops and livestock products","84","Greece","5510","Production","544","Strawberries","2020","2020","tonnes","84220","","Official data"
"QCL","Crops and livestock products","89","Guatemala","5312","Area harvested","544","Strawberries","2020","2020","ha","750","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","89","Guatemala","5419","Yield","544","Strawberries","2020","2020","hg/ha","212653","Fc","Calculated data"
"QCL","Crops and livestock products","89","Guatemala","5510","Production","544","Strawberries","2020","2020","tonnes","15949","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","97","Hungary","5312","Area harvested","544","Strawberries","2020","2020","ha","880","","Official data"
"QCL","Crops and livestock products","97","Hungary","5419","Yield","544","Strawberries","2020","2020","hg/ha","69773","Fc","Calculated data"
"QCL","Crops and livestock products","97","Hungary","5510","Production","544","Strawberries","2020","2020","tonnes","6140","","Official data"
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","544","Strawberries","2020","2020","ha","4268","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","544","Strawberries","2020","2020","hg/ha","152224","Fc","Calculated data"
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","544","Strawberries","2020","2020","tonnes","64969","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","544","Strawberries","2020","2020","ha","180","","Official data"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","544","Strawberries","2020","2020","hg/ha","347778","Fc","Calculated data"
"QCL","Crops and livestock products","104","Ireland","5510","Production","544","Strawberries","2020","2020","tonnes","6260","","Official data"
"QCL","Crops and livestock products","105","Israel","5312","Area harvested","544","Strawberries","2020","2020","ha","509","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","105","Israel","5419","Yield","544","Strawberries","2020","2020","hg/ha","464303","Fc","Calculated data"
"QCL","Crops and livestock products","105","Israel","5510","Production","544","Strawberries","2020","2020","tonnes","23633","","Official data"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","544","Strawberries","2020","2020","ha","4620","","Official data"
"QCL","Crops and livestock products","106","Italy","5419","Yield","544","Strawberries","2020","2020","hg/ha","263615","Fc","Calculated data"
"QCL","Crops and livestock products","106","Italy","5510","Production","544","Strawberries","2020","2020","tonnes","121790","","Official data"
"QCL","Crops and livestock products","110","Japan","5312","Area harvested","544","Strawberries","2020","2020","ha","5047","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","110","Japan","5419","Yield","544","Strawberries","2020","2020","hg/ha","324420","Fc","Calculated data"
"QCL","Crops and livestock products","110","Japan","5510","Production","544","Strawberries","2020","2020","tonnes","163735","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","112","Jordan","5312","Area harvested","544","Strawberries","2020","2020","ha","122","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","112","Jordan","5419","Yield","544","Strawberries","2020","2020","hg/ha","371639","Fc","Calculated data"
"QCL","Crops and livestock products","112","Jordan","5510","Production","544","Strawberries","2020","2020","tonnes","4534","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","108","Kazakhstan","5312","Area harvested","544","Strawberries","2020","2020","ha","871","","Official data"
"QCL","Crops and livestock products","108","Kazakhstan","5419","Yield","544","Strawberries","2020","2020","hg/ha","78599","Fc","Calculated data"
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","544","Strawberries","2020","2020","tonnes","6846","","Official data"
"QCL","Crops and livestock products","114","Kenya","5312","Area harvested","544","Strawberries","2020","2020","ha","59","","Official data"
"QCL","Crops and livestock products","114","Kenya","5419","Yield","544","Strawberries","2020","2020","hg/ha","84746","Fc","Calculated data"
"QCL","Crops and livestock products","114","Kenya","5510","Production","544","Strawberries","2020","2020","tonnes","500","","Official data"
"QCL","Crops and livestock products","118","Kuwait","5312","Area harvested","544","Strawberries","2020","2020","ha","24","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","118","Kuwait","5419","Yield","544","Strawberries","2020","2020","hg/ha","441667","Fc","Calculated data"
"QCL","Crops and livestock products","118","Kuwait","5510","Production","544","Strawberries","2020","2020","tonnes","1060","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","113","Kyrgyzstan","5312","Area harvested","544","Strawberries","2020","2020","ha","400","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","113","Kyrgyzstan","5419","Yield","544","Strawberries","2020","2020","hg/ha","51800","Fc","Calculated data"
"QCL","Crops and livestock products","113","Kyrgyzstan","5510","Production","544","Strawberries","2020","2020","tonnes","2072","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","119","Latvia","5312","Area harvested","544","Strawberries","2020","2020","ha","500","","Official data"
"QCL","Crops and livestock products","119","Latvia","5419","Yield","544","Strawberries","2020","2020","hg/ha","22000","Fc","Calculated data"
"QCL","Crops and livestock products","119","Latvia","5510","Production","544","Strawberries","2020","2020","tonnes","1100","","Official data"
"QCL","Crops and livestock products","121","Lebanon","5312","Area harvested","544","Strawberries","2020","2020","ha","284","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","121","Lebanon","5419","Yield","544","Strawberries","2020","2020","hg/ha","86690","Fc","Calculated data"
"QCL","Crops and livestock products","121","Lebanon","5510","Production","544","Strawberries","2020","2020","tonnes","2462","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","126","Lithuania","5312","Area harvested","544","Strawberries","2020","2020","ha","940","","Official data"
"QCL","Crops and livestock products","126","Lithuania","5419","Yield","544","Strawberries","2020","2020","hg/ha","36383","Fc","Calculated data"
"QCL","Crops and livestock products","126","Lithuania","5510","Production","544","Strawberries","2020","2020","tonnes","3420","","Official data"
"QCL","Crops and livestock products","256","Luxembourg","5312","Area harvested","544","Strawberries","2020","2020","ha","10","","Official data"
"QCL","Crops and livestock products","256","Luxembourg","5419","Yield","544","Strawberries","2020","2020","hg/ha","10000","Fc","Calculated data"
"QCL","Crops and livestock products","256","Luxembourg","5510","Production","544","Strawberries","2020","2020","tonnes","10","","Official data"
"QCL","Crops and livestock products","130","Malawi","5312","Area harvested","544","Strawberries","2020","2020","ha","119","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","130","Malawi","5419","Yield","544","Strawberries","2020","2020","hg/ha","10084","Fc","Calculated data"
"QCL","Crops and livestock products","130","Malawi","5510","Production","544","Strawberries","2020","2020","tonnes","120","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","134","Malta","5510","Production","544","Strawberries","2020","2020","tonnes","1530","","Official data"
"QCL","Crops and livestock products","138","Mexico","5312","Area harvested","544","Strawberries","2020","2020","ha","12913","","Official data"
"QCL","Crops and livestock products","138","Mexico","5419","Yield","544","Strawberries","2020","2020","hg/ha","431746","Fc","Calculated data"
"QCL","Crops and livestock products","138","Mexico","5510","Production","544","Strawberries","2020","2020","tonnes","557514","","Official data"
"QCL","Crops and livestock products","143","Morocco","5312","Area harvested","544","Strawberries","2020","2020","ha","3279","","Official data"
"QCL","Crops and livestock products","143","Morocco","5419","Yield","544","Strawberries","2020","2020","hg/ha","509164","Fc","Calculated data"
"QCL","Crops and livestock products","143","Morocco","5510","Production","544","Strawberries","2020","2020","tonnes","166955","","Official data"
"QCL","Crops and livestock products","150","Netherlands","5312","Area harvested","544","Strawberries","2020","2020","ha","1520","","Official data"
"QCL","Crops and livestock products","150","Netherlands","5419","Yield","544","Strawberries","2020","2020","hg/ha","510329","Fc","Calculated data"
"QCL","Crops and livestock products","150","Netherlands","5510","Production","544","Strawberries","2020","2020","tonnes","77570","","Official data"
"QCL","Crops and livestock products","156","New Zealand","5312","Area harvested","544","Strawberries","2020","2020","ha","190","","Official data"
"QCL","Crops and livestock products","156","New Zealand","5419","Yield","544","Strawberries","2020","2020","hg/ha","166316","Fc","Calculated data"
"QCL","Crops and livestock products","156","New Zealand","5510","Production","544","Strawberries","2020","2020","tonnes","3160","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","154","North Macedonia","5312","Area harvested","544","Strawberries","2020","2020","ha","846","","Official data"
"QCL","Crops and livestock products","154","North Macedonia","5419","Yield","544","Strawberries","2020","2020","hg/ha","69527","Fc","Calculated data"
"QCL","Crops and livestock products","154","North Macedonia","5510","Production","544","Strawberries","2020","2020","tonnes","5882","","Official data"
"QCL","Crops and livestock products","162","Norway","5312","Area harvested","544","Strawberries","2020","2020","ha","1250","","Official data"
"QCL","Crops and livestock products","162","Norway","5419","Yield","544","Strawberries","2020","2020","hg/ha","56240","Fc","Calculated data"
"QCL","Crops and livestock products","162","Norway","5510","Production","544","Strawberries","2020","2020","tonnes","7030","","Official data"
"QCL","Crops and livestock products","299","Palestine","5312","Area harvested","544","Strawberries","2020","2020","ha","116","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","299","Palestine","5419","Yield","544","Strawberries","2020","2020","hg/ha","274138","Fc","Calculated data"
"QCL","Crops and livestock products","299","Palestine","5510","Production","544","Strawberries","2020","2020","tonnes","3180","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","169","Paraguay","5312","Area harvested","544","Strawberries","2020","2020","ha","414","","Official data"
"QCL","Crops and livestock products","169","Paraguay","5419","Yield","544","Strawberries","2020","2020","hg/ha","109034","Fc","Calculated data"
"QCL","Crops and livestock products","169","Paraguay","5510","Production","544","Strawberries","2020","2020","tonnes","4514","","Official data"
"QCL","Crops and livestock products","170","Peru","5312","Area harvested","544","Strawberries","2020","2020","ha","1225","","Official data"
"QCL","Crops and livestock products","170","Peru","5419","Yield","544","Strawberries","2020","2020","hg/ha","176620","Fc","Calculated data"
"QCL","Crops and livestock products","170","Peru","5510","Production","544","Strawberries","2020","2020","tonnes","21636","","Official data"
"QCL","Crops and livestock products","171","Philippines","5312","Area harvested","544","Strawberries","2020","2020","ha","165","","Official data"
"QCL","Crops and livestock products","171","Philippines","5419","Yield","544","Strawberries","2020","2020","hg/ha","72848","Fc","Calculated data"
"QCL","Crops and livestock products","171","Philippines","5510","Production","544","Strawberries","2020","2020","tonnes","1202","","Official data"
"QCL","Crops and livestock products","173","Poland","5312","Area harvested","544","Strawberries","2020","2020","ha","33200","","Official data"
"QCL","Crops and livestock products","173","Poland","5419","Yield","544","Strawberries","2020","2020","hg/ha","50392","Fc","Calculated data"
"QCL","Crops and livestock products","173","Poland","5510","Production","544","Strawberries","2020","2020","tonnes","167300","","Official data"
"QCL","Crops and livestock products","174","Portugal","5312","Area harvested","544","Strawberries","2020","2020","ha","810","","Official data"
"QCL","Crops and livestock products","174","Portugal","5419","Yield","544","Strawberries","2020","2020","hg/ha","290741","Fc","Calculated data"
"QCL","Crops and livestock products","174","Portugal","5510","Production","544","Strawberries","2020","2020","tonnes","23550","","Official data"
"QCL","Crops and livestock products","117","Republic of Korea","5312","Area harvested","544","Strawberries","2020","2020","ha","5683","","Official data"
"QCL","Crops and livestock products","117","Republic of Korea","5419","Yield","544","Strawberries","2020","2020","hg/ha","287957","Fc","Calculated data"
"QCL","Crops and livestock products","117","Republic of Korea","5510","Production","544","Strawberries","2020","2020","tonnes","163646","","Official data"
"QCL","Crops and livestock products","146","Republic of Moldova","5312","Area harvested","544","Strawberries","2020","2020","ha","2056","","Official data"
"QCL","Crops and livestock products","146","Republic of Moldova","5419","Yield","544","Strawberries","2020","2020","hg/ha","50875","Fc","Calculated data"
"QCL","Crops and livestock products","146","Republic of Moldova","5510","Production","544","Strawberries","2020","2020","tonnes","10460","","Official data"
"QCL","Crops and livestock products","183","Romania","5312","Area harvested","544","Strawberries","2020","2020","ha","3290","","Official data"
"QCL","Crops and livestock products","183","Romania","5419","Yield","544","Strawberries","2020","2020","hg/ha","69605","Fc","Calculated data"
"QCL","Crops and livestock products","183","Romania","5510","Production","544","Strawberries","2020","2020","tonnes","22900","","Official data"
"QCL","Crops and livestock products","185","Russian Federation","5312","Area harvested","544","Strawberries","2020","2020","ha","32393","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","185","Russian Federation","5419","Yield","544","Strawberries","2020","2020","hg/ha","67422","Fc","Calculated data"
"QCL","Crops and livestock products","185","Russian Federation","5510","Production","544","Strawberries","2020","2020","tonnes","218400","F","FAO estimate"
"QCL","Crops and livestock products","272","Serbia","5312","Area harvested","544","Strawberries","2020","2020","ha","6716","","Official data"
"QCL","Crops and livestock products","272","Serbia","5419","Yield","544","Strawberries","2020","2020","hg/ha","45389","Fc","Calculated data"
"QCL","Crops and livestock products","272","Serbia","5510","Production","544","Strawberries","2020","2020","tonnes","30483","","Official data"
"QCL","Crops and livestock products","199","Slovakia","5312","Area harvested","544","Strawberries","2020","2020","ha","210","","Official data"
"QCL","Crops and livestock products","199","Slovakia","5419","Yield","544","Strawberries","2020","2020","hg/ha","52857","Fc","Calculated data"
"QCL","Crops and livestock products","199","Slovakia","5510","Production","544","Strawberries","2020","2020","tonnes","1110","","Official data"
"QCL","Crops and livestock products","198","Slovenia","5312","Area harvested","544","Strawberries","2020","2020","ha","140","","Official data"
"QCL","Crops and livestock products","198","Slovenia","5419","Yield","544","Strawberries","2020","2020","hg/ha","164286","Fc","Calculated data"
"QCL","Crops and livestock products","198","Slovenia","5510","Production","544","Strawberries","2020","2020","tonnes","2300","","Official data"
"QCL","Crops and livestock products","202","South Africa","5312","Area harvested","544","Strawberries","2020","2020","ha","873","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","202","South Africa","5419","Yield","544","Strawberries","2020","2020","hg/ha","120183","Fc","Calculated data"
"QCL","Crops and livestock products","202","South Africa","5510","Production","544","Strawberries","2020","2020","tonnes","10492","","Official data"
"QCL","Crops and livestock products","203","Spain","5312","Area harvested","544","Strawberries","2020","2020","ha","7350","","Official data"
"QCL","Crops and livestock products","203","Spain","5419","Yield","544","Strawberries","2020","2020","hg/ha","370816","Fc","Calculated data"
"QCL","Crops and livestock products","203","Spain","5510","Production","544","Strawberries","2020","2020","tonnes","272550","","Official data"
"QCL","Crops and livestock products","210","Sweden","5312","Area harvested","544","Strawberries","2020","2020","ha","2080","","Official data"
"QCL","Crops and livestock products","210","Sweden","5419","Yield","544","Strawberries","2020","2020","hg/ha","82788","Fc","Calculated data"
"QCL","Crops and livestock products","210","Sweden","5510","Production","544","Strawberries","2020","2020","tonnes","17220","","Official data"
"QCL","Crops and livestock products","211","Switzerland","5312","Area harvested","544","Strawberries","2020","2020","ha","521","","Official data"
"QCL","Crops and livestock products","211","Switzerland","5419","Yield","544","Strawberries","2020","2020","hg/ha","174165","Fc","Calculated data"
"QCL","Crops and livestock products","211","Switzerland","5510","Production","544","Strawberries","2020","2020","tonnes","9074","","Official data"
"QCL","Crops and livestock products","222","Tunisia","5312","Area harvested","544","Strawberries","2020","2020","ha","401","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","222","Tunisia","5419","Yield","544","Strawberries","2020","2020","hg/ha","246933","Fc","Calculated data"
"QCL","Crops and livestock products","222","Tunisia","5510","Production","544","Strawberries","2020","2020","tonnes","9902","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","223","Türkiye","5312","Area harvested","544","Strawberries","2020","2020","ha","17978","","Official data"
"QCL","Crops and livestock products","223","Türkiye","5419","Yield","544","Strawberries","2020","2020","hg/ha","303997","Fc","Calculated data"
"QCL","Crops and livestock products","223","Türkiye","5510","Production","544","Strawberries","2020","2020","tonnes","546525","","Official data"
"QCL","Crops and livestock products","230","Ukraine","5312","Area harvested","544","Strawberries","2020","2020","ha","8100","","Official data"
"QCL","Crops and livestock products","230","Ukraine","5419","Yield","544","Strawberries","2020","2020","hg/ha","68111","Fc","Calculated data"
"QCL","Crops and livestock products","230","Ukraine","5510","Production","544","Strawberries","2020","2020","tonnes","55170","","Official data"
"QCL","Crops and livestock products","229","United Kingdom of Great Britain and Northern Ireland","5312","Area harvested","544","Strawberries","2020","2020","ha","4883","","Official data"
"QCL","Crops and livestock products","229","United Kingdom of Great Britain and Northern Ireland","5419","Yield","544","Strawberries","2020","2020","hg/ha","265478","Fc","Calculated data"
"QCL","Crops and livestock products","229","United Kingdom of Great Britain and Northern Ireland","5510","Production","544","Strawberries","2020","2020","tonnes","129633","","Official data"
"QCL","Crops and livestock products","231","United States of America","5312","Area harvested","544","Strawberries","2020","2020","ha","17400","","Official data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","544","Strawberries","2020","2020","hg/ha","606875","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","544","Strawberries","2020","2020","tonnes","1055963","","Official data"
"QCL","Crops and livestock products","235","Uzbekistan","5312","Area harvested","544","Strawberries","2020","2020","ha","1245","","Official data"
"QCL","Crops and livestock products","235","Uzbekistan","5419","Yield","544","Strawberries","2020","2020","hg/ha","107141","Fc","Calculated data"
"QCL","Crops and livestock products","235","Uzbekistan","5510","Production","544","Strawberries","2020","2020","tonnes","13339","","Official data"
